id,scimago_match_key,scimago_issn,scimago_eissn,Scimago_Title,SJR Best Quartile,Scimago_Categories,Scimago_Areas
119,0092-5853,0092-5853,1540-5907,American Journal of Political Science,Q1,Political Science and International Relations (Q1); Sociology and Political Science (Q1),Social Sciences
120,0090-0036,0090-0036,1541-0048,American Journal of Public Health,Q1,"Public Health, Environmental and Occupational Health (Q1)",Medicine
121,,,,,,,
122,0002-9602,0002-9602,1537-5390,American Journal of Sociology,Q1,Sociology and Political Science (Q1),Social Sciences
123,1465-7252,1465-7260,1465-7252,American Law and Economics Review,Q3,Law (Q3); Finance (Q4),"Economics, Econometrics and Finance; Social Sciences"
124,0003-0554,1537-5943,0003-0554,American Political Science Review,Q1,Political Science and International Relations (Q1); Sociology and Political Science (Q1),Social Sciences
125,0003-066X,0003-066X,1935-990X,American Psychologist,Q1,Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1),Medicine; Psychology
126,,,,,,,
127,0275-0740,1552-3357,0275-0740,American Review of Public Administration,Q1,Public Administration (Q1); Sociology and Political Science (Q1); Marketing (Q2),"Business, Management and Accounting; Social Sciences"
128,0003-1224,0003-1224,1939-8271,American Sociological Review,Q1,Sociology and Political Science (Q1),Social Sciences
129,1869-814X,1869-8182,1869-814X,AMS Review,Q1,Marketing (Q1),"Business, Management and Accounting"
130,,,,,,,
131,2213-6657,2213-6657,,Analytic Methods in Accident Research,Q1,Safety Research (Q1); Transportation (Q1),Social Sciences
132,1303-2917,1303-2917,2156-6909,Anatolia,Q2,"Earth-Surface Processes (Q2); Geography, Planning and Development (Q2)",Earth and Planetary Sciences; Social Sciences
133,,,,,,,
134,1748-4995,1748-4995,1748-5002,Annals of Actuarial Science,Q2,"Economics and Econometrics (Q2); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)","Decision Sciences; Economics, Econometrics and Finance; Mathematics"
135,1050-5164,1050-5164,,Annals of Applied Probability,Q1,"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)",Decision Sciences; Mathematics
136,1932-6157,1941-7330,1932-6157,Annals of Applied Statistics,Q1,"Modeling and Simulation (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)",Decision Sciences; Mathematics
137,1529-7373,1529-7373,,Annals of Economics and Finance,Q4,Economics and Econometrics (Q4); Finance (Q4),"Economics, Econometrics and Finance"
138,1614-2446,1614-2454,1614-2446,Annals of Finance,Q2,"Economics, Econometrics and Finance (miscellaneous) (Q2); Finance (Q3)","Economics, Econometrics and Finance"
139,1174-5398,1174-5398,2159-6816,Annals of Leisure Research,Q1,"Cultural Studies (Q1); Geography, Planning and Development (Q2); Social Psychology (Q2); Tourism, Leisure and Hospitality Management (Q2)","Business, Management and Accounting; Psychology; Social Sciences"
140,0254-5330,0254-5330,1572-9338,Annals of Operations Research,Q1,Decision Sciences (miscellaneous) (Q1); Management Science and Operations Research (Q1),Decision Sciences
141,0091-1798,2168-894X,0091-1798,Annals of Probability,Q1,"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)",Decision Sciences; Mathematics
142,1370-4788,1370-4788,1467-8292,Annals of Public and Cooperative Economics,Q1,Sociology and Political Science (Q1); Economics and Econometrics (Q2),"Economics, Econometrics and Finance; Social Sciences"
143,0090-5364,2168-8966,0090-5364,Annals of Statistics,Q1,"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)",Decision Sciences; Mathematics
144,0002-7162,1552-3349,0002-7162,Annals of the American Academy of Political and Social Science,Q1,Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1),Social Sciences
145,0020-3157,0020-3157,1572-9052,Annals of the Institute of Statistical Mathematics,Q2,Statistics and Probability (Q2),Mathematics
146,0160-7383,0160-7383,,Annals of Tourism Research,Q1,"Business and International Management (Q1); Development (Q1); Marketing (Q1); Tourism, Leisure and Hospitality Management (Q1)","Business, Management and Accounting; Social Sciences"
147,2666-9579,2666-9579,,Annals of Tourism Research Empirical Insights,Q1,"Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Marketing (Q2); Tourism, Leisure and Hospitality Management (Q2)","Business, Management and Accounting; Social Sciences"
148,,,,,,,
149,,,,,,,
150,1941-1383,1941-1383,1941-1391,Annual Review of Economics,Q1,Economics and Econometrics (Q1),"Economics, Econometrics and Finance"
151,1941-1367,1941-1367,1941-1375,Annual Review of Financial Economics,Q1,Economics and Econometrics (Q1); Finance (Q1),"Economics, Econometrics and Finance"
152,annual review of organizational psychology and organizational behavior,2327-0608,,Annual Review of Organizational Psychology and Organizational Behavior,Q1,Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1),"Business, Management and Accounting; Psychology"
153,0066-4308,0066-4308,1545-2085,Annual Review of Psychology,Q1,Psychology (miscellaneous) (Q1),Psychology
154,1941-1340,1941-1359,1941-1340,Annual Review of Resource Economics,Q1,Economics and Econometrics (Q1),"Economics, Econometrics and Finance"
155,0360-0572,0360-0572,1545-2115,Annual Review of Sociology,Q1,Sociology and Political Science (Q1),Social Sciences
156,,,,,,,
157,0003-603X,1930-7969,0003-603X,Antitrust Bulletin,Q1,Law (Q1); Economics and Econometrics (Q2),"Economics, Econometrics and Finance; Social Sciences"
